product_id,restaurant_id,product_name,category,price,cost,availability
PROD00001,REST0018,Food Item 0001,Noodles,583.6,374.45,Available
PROD00002,REST0022,Food Item 0002,Curry,971.26,604.99,Unavailable
PROD00003,REST0056,Food Item 0003,Rice,892.5,531.29,Available
PROD00004,REST0017,Food Item 0004,Biryani,1049.66,738.74,Available
PROD00005,REST0038,Food Item 0005,Burger,130.35,83.86,Available
PROD00006,REST0025,Food Item 0006,Burger,1163.73,803.43,Unavailable
PROD00007,REST0032,Food Item 0007,Curry,488.73,335.22,Unavailable
PROD00008,REST0015,Food Item 0008,Drinks,1189.63,603.52,Available
PROD00009,REST0013,Food Item 0009,Dessert,392.83,253.39,Unavailable
PROD00010,REST0058,Food Item 0010,Pizza,629.26,320.86,Available
PROD00011,REST0090,Food Item 0011,Drinks,502.24,313.9,Available
PROD00012,REST0050,Food Item 0012,Dessert,504.22,329.37,Available
PROD00013,REST0011,Food Item 0013,Drinks,1029.66,771.39,Available
PROD00014,REST0013,Food Item 0014,Rice,926.13,425.24,Available
PROD00015,REST0097,Food Item 0015,Drinks,1191.52,568.8,Available
PROD00016,REST0050,Food Item 0016,Pizza,782.6,370.25,Available
PROD00017,REST0038,Food Item 0017,Burger,620.32,353.28,Available
PROD00018,REST0001,Food Item 0018,Drinks,217.28,151.33,Available
PROD00019,REST0039,Food Item 0019,Snacks,1196.29,841.25,Available
PROD00020,REST0027,Food Item 0020,Dessert,715.65,480.27,Available
PROD00021,REST0036,Food Item 0021,Chicken,876.52,630.27,Unavailable
PROD00022,REST0032,Food Item 0022,Dessert,559.28,305.85,Available
PROD00023,REST0041,Food Item 0023,Burger,711.53,339.01,Available
PROD00024,REST0015,Food Item 0024,Drinks,1137.98,531.94,Unavailable
PROD00025,REST0031,Food Item 0025,Snacks,299.73,211.5,Unavailable
PROD00026,REST0006,Food Item 0026,Drinks,435.76,291.58,Available
PROD00027,REST0089,Food Item 0027,Drinks,284.22,187.47,Unavailable
PROD00028,REST0052,Food Item 0028,Curry,975.59,538.43,Unavailable
PROD00029,REST0082,Food Item 0029,Rice,187.01,105.47,Available
PROD00030,REST0022,Food Item 0030,Pizza,208.16,153.5,Available
