restaurant_id,restaurant_name,cuisine_type,city,rating,commission_rate,joining_date
REST0001,Restaurant 001,Burger,Sylhet,4.31,0.18,2023-07-21
REST0002,Restaurant 002,Burger,Sylhet,4.91,0.1,2024-09-22
REST0003,Restaurant 003,Indian,Sylhet,4.9,0.15,2024-10-18
REST0004,Restaurant 004,Burger,Dhaka,4.24,0.2,2022-04-20
REST0005,Restaurant 005,Burger,Dhaka,3.88,0.2,2022-05-29
REST0006,Restaurant 006,Burger,Dhaka,3.91,0.12,2023-02-10
REST0007,Restaurant 007,Pizza,Mymensingh,3.51,0.18,2023-11-30
REST0008,Restaurant 008,Thai,Dhaka,4.53,0.15,2024-10-13
REST0009,Restaurant 009,Pizza,Chattogram,4.08,0.2,2025-12-04
REST0010,Restaurant 010,Bengali,Rangpur,4.3,0.12,2025-02-26
REST0011,Restaurant 011,Desserts,Khulna,4.25,0.1,2022-04-18
REST0012,Restaurant 012,Chinese,Barishal,3.79,0.2,2023-01-24
REST0013,Restaurant 013,Indian,Mymensingh,3.73,0.12,2023-03-01
REST0014,Restaurant 014,Biryani,Dhaka,3.9,0.1,2023-03-23
REST0015,Restaurant 015,Burger,Dhaka,4.32,0.18,2024-07-06
REST0016,Restaurant 016,Korean,Dhaka,4.06,0.1,2024-12-27
REST0017,Restaurant 017,Indian,Dhaka,3.31,0.2,2024-12-25
REST0018,Restaurant 018,Fast Food,Chattogram,3.64,0.15,2023-10-18
REST0019,Restaurant 019,Indian,Dhaka,3.98,0.1,2022-11-17
REST0020,Restaurant 020,Desserts,Khulna,4.09,0.15,2023-12-20
REST0021,Restaurant 021,Biryani,Dhaka,4.33,0.15,2023-12-29
REST0022,Restaurant 022,Indian,Dhaka,4.12,0.1,2023-08-03
REST0023,Restaurant 023,Biryani,Rajshahi,3.94,0.18,2023-03-23
REST0024,Restaurant 024,Indian,Dhaka,3.92,0.1,2022-07-29
REST0025,Restaurant 025,Pizza,Rajshahi,4.19,0.12,2024-04-28
REST0026,Restaurant 026,Pizza,Mymensingh,4.29,0.15,2023-01-05
REST0027,Restaurant 027,Thai,Khulna,3.95,0.2,2023-07-31
REST0028,Restaurant 028,Bengali,Dhaka,3.62,0.15,2023-11-20
REST0029,Restaurant 029,Indian,Rangpur,4.06,0.2,2024-02-29
REST0030,Restaurant 030,Burger,Dhaka,3.81,0.12,2024-09-18
REST0031,Restaurant 031,Indian,Rajshahi,4.23,0.12,2022-06-12
REST0032,Restaurant 032,Fast Food,Dhaka,4.77,0.12,2024-09-03
REST0033,Restaurant 033,Biryani,Dhaka,3.49,0.1,2025-09-17
REST0034,Restaurant 034,Burger,Mymensingh,4.62,0.15,2022-12-16
REST0035,Restaurant 035,Thai,Dhaka,4.31,0.2,2023-11-01
REST0036,Restaurant 036,Biryani,Barishal,4.6,0.12,2023-03-02
REST0037,Restaurant 037,Pizza,Dhaka,3.9,0.12,2022-11-23
REST0038,Restaurant 038,Korean,Barishal,3.45,0.2,2025-02-03
REST0039,Restaurant 039,Burger,Mymensingh,4.18,0.15,2022-09-12
REST0040,Restaurant 040,Pizza,Chattogram,4.73,0.15,2022-12-24
REST0041,Restaurant 041,Fast Food,Chattogram,3.62,0.2,2023-03-20
REST0042,Restaurant 042,Burger,Sylhet,3.69,0.18,2022-04-23
REST0043,Restaurant 043,Burger,Mymensingh,4.36,0.15,2024-11-19
REST0044,Restaurant 044,Burger,Dhaka,3.87,0.2,2023-06-08
REST0045,Restaurant 045,Bengali,Sylhet,4.85,0.2,2023-11-20
REST0046,Restaurant 046,Burger,Dhaka,4.39,0.12,2024-09-17
REST0047,Restaurant 047,Bengali,Dhaka,3.78,0.2,2022-02-15
REST0048,Restaurant 048,Pizza,Dhaka,3.85,0.1,2025-04-09
REST0049,Restaurant 049,Thai,Sylhet,3.86,0.12,2025-02-27
REST0050,Restaurant 050,Bengali,Rangpur,4.08,0.12,2024-01-27
REST0051,Restaurant 051,Bengali,Dhaka,4.24,0.15,2025-10-08
REST0052,Restaurant 052,Burger,Chattogram,4.2,0.18,2025-05-11
REST0053,Restaurant 053,Thai,Sylhet,3.59,0.15,2025-06-03
REST0054,Restaurant 054,Burger,Chattogram,4.51,0.1,2025-01-08
REST0055,Restaurant 055,Pizza,Rangpur,3.97,0.12,2025-08-26
REST0056,Restaurant 056,Burger,Dhaka,3.68,0.12,2024-11-24
REST0057,Restaurant 057,Chinese,Dhaka,3.89,0.2,2023-07-18
REST0058,Restaurant 058,Desserts,Dhaka,4.56,0.18,2022-06-10
REST0059,Restaurant 059,Pizza,Rangpur,4.19,0.18,2024-04-19
REST0060,Restaurant 060,Indian,Mymensingh,4.22,0.2,2025-12-29
REST0061,Restaurant 061,Biryani,Dhaka,3.57,0.1,2023-06-22
REST0062,Restaurant 062,Biryani,Dhaka,4.16,0.18,2022-08-13
REST0063,Restaurant 063,Thai,Chattogram,4.55,0.12,2025-09-02
REST0064,Restaurant 064,Chinese,Rajshahi,3.29,0.1,2025-12-08
REST0065,Restaurant 065,Bengali,Sylhet,3.92,0.15,2022-04-05
REST0066,Restaurant 066,Chinese,Mymensingh,4.38,0.15,2025-06-02
REST0067,Restaurant 067,Desserts,Barishal,4.17,0.1,2024-08-06
REST0068,Restaurant 068,Pizza,Barishal,3.64,0.12,2023-07-07
REST0069,Restaurant 069,Thai,Chattogram,4.28,0.15,2023-10-07
REST0070,Restaurant 070,Chinese,Dhaka,3.57,0.12,2022-03-07
REST0071,Restaurant 071,Fast Food,Rajshahi,3.71,0.2,2025-11-21
REST0072,Restaurant 072,Bengali,Chattogram,3.76,0.18,2025-05-18
REST0073,Restaurant 073,Chinese,Dhaka,4.79,0.1,2023-10-27
REST0074,Restaurant 074,Thai,Dhaka,3.35,0.18,2023-11-15
REST0075,Restaurant 075,Fast Food,Chattogram,3.38,0.2,2024-06-28
REST0076,Restaurant 076,Indian,Sylhet,4.23,0.15,2024-04-16
REST0077,Restaurant 077,Pizza,Chattogram,4.15,0.12,2023-07-25
REST0078,Restaurant 078,Pizza,Dhaka,3.89,0.12,2023-11-27
REST0079,Restaurant 079,Indian,Chattogram,4.11,0.2,2022-06-29
REST0080,Restaurant 080,Burger,Dhaka,3.62,0.1,2024-04-13
REST0081,Restaurant 081,Biryani,Rajshahi,4.14,0.18,2024-12-27
REST0082,Restaurant 082,Fast Food,Chattogram,4.19,0.15,2025-09-14
REST0083,Restaurant 083,Bengali,Barishal,4.65,0.1,2022-07-21
REST0084,Restaurant 084,Chinese,Khulna,4.96,0.2,2024-11-04
REST0085,Restaurant 085,Desserts,Rajshahi,3.98,0.2,2024-12-01
