customer_id,customer_name,gender,age,city,signup_date,customer_segment
CUST00001,Customer 00001,Male,21,Rajshahi,2023-08-02,Young
CUST00002,Customer 00002,Female,24,Rajshahi,2024-04-27,Young
CUST00003,Customer 00003,Male,52,Rangpur,2025-12-26,Senior
CUST00004,Customer 00004,Male,26,Rangpur,2023-05-13,Adult
CUST00005,Customer 00005,Male,25,Rangpur,2024-05-26,Adult
CUST00006,Customer 00006,Female,34,Dhaka,2023-07-30,Adult
CUST00007,Customer 00007,Male,34,Chattogram,2025-09-14,Adult
CUST00008,Customer 00008,Male,50,Khulna,2025-09-13,Senior
CUST00009,Customer 00009,Male,49,Khulna,2024-12-17,Senior
CUST00010,Customer 00010,Female,25,Sylhet,2023-09-10,Adult
CUST00011,Customer 00011,Male,36,Dhaka,2023-02-07,Mid-age
CUST00012,Customer 00012,Male,55,Barishal,2025-12-02,Senior
CUST00013,Customer 00013,Male,20,Khulna,2024-09-20,Young
CUST00014,Customer 00014,Male,22,Dhaka,2025-09-13,Young
CUST00015,Customer 00015,Female,30,Chattogram,2023-02-15,Adult
CUST00016,Customer 00016,Male,48,Dhaka,2023-11-01,Senior
CUST00017,Customer 00017,Female,33,Dhaka,2023-08-21,Adult
CUST00018,Customer 00018,Female,49,Dhaka,2023-09-02,Senior
CUST00019,Customer 00019,Female,39,Chattogram,2025-01-29,Mid-age
CUST00020,Customer 00020,Male,46,Chattogram,2025-04-18,Senior
CUST00021,Customer 00021,Female,39,Sylhet,2023-06-07,Mid-age
CUST00022,Customer 00022,Male,60,Rajshahi,2025-10-21,Senior
CUST00023,Customer 00023,Female,20,Barishal,2023-08-05,Young
CUST00024,Customer 00024,Female,27,Dhaka,2025-07-16,Adult
CUST00025,Customer 00025,Female,59,Dhaka,2024-05-21,Senior
CUST00026,Customer 00026,Female,38,Rangpur,2025-01-30,Mid-age
CUST00027,Customer 00027,Female,33,Dhaka,2025-06-22,Adult
CUST00028,Customer 00028,Female,29,Mymensingh,2024-08-03,Adult
CUST00029,Customer 00029,Female,19,Barishal,2025-11-19,Young
CUST00030,Customer 00030,Female,58,Chattogram,2024-09-18,Senior
CUST00031,Customer 00031,Male,41,Mymensingh,2024-06-03,Mid-age
CUST00032,Customer 00032,Male,52,Dhaka,2023-10-02,Senior
CUST00033,Customer 00033,Female,47,Dhaka,2024-05-06,Senior
CUST00034,Customer 00034,Female,47,Sylhet,2025-04-06,Senior
CUST00035,Customer 00035,Female,52,Dhaka,2025-08-08,Senior
CUST00036,Customer 00036,Male,36,Mymensingh,2025-07-14,Mid-age
CUST00037,Customer 00037,Female,25,Dhaka,2025-04-26,Adult
CUST00038,Customer 00038,Male,43,Chattogram,2025-11-25,Mid-age
CUST00039,Customer 00039,Male,57,Sylhet,2025-12-03,Senior
CUST00040,Customer 00040,Male,24,Rajshahi,2023-02-08,Young
CUST00041,Customer 00041,Male,47,Dhaka,2023-08-27,Senior
CUST00042,Customer 00042,Male,24,Dhaka,2025-11-02,Young
CUST00043,Customer 00043,Female,20,Barishal,2023-05-02,Young
CUST00044,Customer 00044,Female,18,Dhaka,2023-05-24,Young
CUST00045,Customer 00045,Female,53,Barishal,2024-11-14,Senior
CUST00046,Customer 00046,Female,42,Sylhet,2024-03-30,Mid-age
CUST00047,Customer 00047,Female,54,Khulna,2024-01-03,Senior
CUST00048,Customer 00048,Male,18,Khulna,2025-01-28,Young
CUST00049,Customer 00049,Female,32,Dhaka,2023-09-04,Adult
CUST00050,Customer 00050,Female,54,Sylhet,2025-07-11,Senior
CUST00051,Customer 00051,Male,30,Rangpur,2025-12-04,Adult
CUST00052,Customer 00052,Female,57,Chattogram,2025-02-03,Senior
CUST00053,Customer 00053,Male,25,Mymensingh,2024-01-10,Adult
CUST00054,Customer 00054,Female,22,Chattogram,2023-07-26,Young
CUST00055,Customer 00055,Male,26,Dhaka,2024-06-02,Adult
CUST00056,Customer 00056,Female,18,Chattogram,2023-08-30,Young
CUST00057,Customer 00057,Female,53,Mymensingh,2025-03-29,Senior
CUST00058,Customer 00058,Male,52,Dhaka,2023-10-29,Senior
CUST00059,Customer 00059,Male,19,Rangpur,2024-12-01,Young
CUST00060,Customer 00060,Male,57,Rangpur,2023-10-15,Senior
CUST00061,Customer 00061,Male,40,Dhaka,2023-06-03,Mid-age
CUST00062,Customer 00062,Male,26,Dhaka,2024-02-27,Adult
CUST00063,Customer 00063,Male,51,Khulna,2025-04-29,Senior
CUST00064,Customer 00064,Male,31,Dhaka,2023-02-19,Adult
CUST00065,Customer 00065,Male,21,Khulna,2024-07-17,Young
CUST00066,Customer 00066,Female,47,Chattogram,2025-05-03,Senior
CUST00067,Customer 00067,Female,48,Chattogram,2025-06-01,Senior
CUST00068,Customer 00068,Male,55,Khulna,2024-10-23,Senior
CUST00069,Customer 00069,Female,28,Chattogram,2024-07-18,Adult
