delivery_id,order_id,delivery_partner_id,pickup_time,delivery_time,estimated_minutes,actual_minutes,delivery_status,distance_km
DEL000001,ORD000001,RIDER0133,2025-02-28 04:10:00,2025-02-28 04:40:00,29,30,Late,12.8
DEL000002,ORD000002,RIDER0183,2025-10-03 02:57:00,2025-10-03 03:31:00,44,34,On Time,4.58
DEL000003,ORD000003,RIDER0001,2025-08-09 18:48:00,2025-08-09 19:18:00,53,30,On Time,9.71
DEL000004,ORD000004,RIDER0267,2025-06-06 22:50:00,2025-06-06 23:22:00,31,32,Late,5.29
DEL000005,ORD000005,RIDER0172,2025-06-30 17:19:00,2025-06-30 17:39:00,27,20,On Time,14.02
DEL000006,ORD000006,RIDER0194,2025-08-01 10:37:00,2025-08-01 11:29:00,47,52,Late,11.28
DEL000007,ORD000007,RIDER0251,2025-05-09 09:01:00,2025-05-09 09:28:00,26,27,Late,10.48
DEL000008,ORD000008,RIDER0216,2025-08-31 23:13:00,2025-08-31 23:55:00,45,42,On Time,7.44
DEL000009,ORD000009,RIDER0034,2025-06-21 21:27:00,2025-06-21 21:56:00,37,29,On Time,2.06
DEL000010,ORD000010,RIDER0210,2025-12-31 01:35:00,2025-12-31 02:40:00,58,65,Late,0.85
DEL000011,ORD000011,RIDER0296,2025-09-27 17:38:00,2025-09-27 18:38:00,52,60,Late,9.87
DEL000012,ORD000012,RIDER0204,2025-06-12 01:45:00,2025-06-12 02:41:00,36,56,Late,4.08
DEL000013,ORD000013,RIDER0179,2025-01-24 01:50:00,2025-01-24 02:41:00,39,51,Late,14.6
DEL000014,ORD000014,RIDER0200,2025-07-12 23:45:00,2025-07-13 00:56:00,47,71,Late,14.79
DEL000015,ORD000015,RIDER0026,2025-10-21 02:19:00,2025-10-21 03:08:00,45,49,Late,13.24
DEL000016,ORD000016,RIDER0108,2025-05-09 16:14:00,2025-05-09 16:44:00,47,30,On Time,5.93
DEL000017,ORD000017,RIDER0007,2025-02-10 23:12:00,2025-02-10 23:55:00,52,43,On Time,13.99
DEL000018,ORD000018,RIDER0154,2025-01-31 14:37:00,2025-01-31 15:09:00,25,32,Late,2.57
DEL000019,ORD000019,RIDER0123,2025-02-05 11:41:00,2025-02-05 12:41:00,58,60,Late,2.02
DEL000020,ORD000020,RIDER0275,2025-12-27 17:45:00,2025-12-27 18:26:00,52,41,On Time,0.82
DEL000021,ORD000021,RIDER0078,2025-09-10 18:40:00,2025-09-10 19:07:00,46,27,On Time,3.37
DEL000022,ORD000023,RIDER0243,2025-08-03 00:03:00,2025-08-03 00:48:00,42,45,Late,8.97
DEL000023,ORD000024,RIDER0170,2025-10-14 02:00:00,2025-10-14 02:23:00,35,23,On Time,2.3
DEL000024,ORD000025,RIDER0032,2025-09-13 13:15:00,2025-09-13 13:44:00,39,29,On Time,14.83
DEL000025,ORD000026,RIDER0057,2025-07-05 03:31:00,2025-07-05 04:22:00,51,51,On Time,4.76
DEL000026,ORD000027,RIDER0252,2025-03-02 16:31:00,2025-03-02 17:22:00,55,51,On Time,12.42
DEL000027,ORD000028,RIDER0056,2025-09-19 04:03:00,2025-09-19 04:48:00,34,45,Late,14.73
DEL000028,ORD000029,RIDER0277,2025-10-03 13:04:00,2025-10-03 14:15:00,58,71,Late,2.56
DEL000029,ORD000030,RIDER0252,2025-04-21 17:42:00,2025-04-21 18:28:00,56,46,On Time,8.06
DEL000030,ORD000031,RIDER0110,2025-11-13 00:42:00,2025-11-13 01:33:00,35,51,Late,14.36
DEL000031,ORD000032,RIDER0103,2025-05-21 10:43:00,2025-05-21 11:55:00,52,72,Late,3.98
DEL000032,ORD000033,RIDER0291,2025-08-21 20:59:00,2025-08-21 21:37:00,37,38,Late,13.7
DEL000033,ORD000034,RIDER0230,2025-01-23 02:50:00,2025-01-23 03:02:00,25,12,On Time,13.21
DEL000034,ORD000035,RIDER0028,2025-03-20 02:36:00,2025-03-20 03:31:00,47,55,Late,4.46
DEL000035,ORD000036,RIDER0232,2025-01-31 15:39:00,2025-01-31 15:51:00,26,12,On Time,13.73
DEL000036,ORD000037,RIDER0056,2025-01-04 07:51:00,2025-01-04 08:09:00,28,18,On Time,4.47
DEL000037,ORD000038,RIDER0079,2025-04-28 08:57:00,2025-04-28 10:25:00,60,88,Late,1.83
DEL000038,ORD000039,RIDER0067,2025-03-07 23:42:00,2025-03-08 00:20:00,37,38,Late,3.45
DEL000039,ORD000040,RIDER0258,2025-10-14 04:49:00,2025-10-14 05:30:00,35,41,Late,9.46
DEL000040,ORD000041,RIDER0131,2025-06-25 01:06:00,2025-06-25 02:11:00,53,65,Late,13.67
DEL000041,ORD000042,RIDER0247,2025-05-03 15:17:00,2025-05-03 15:29:00,25,12,On Time,2.73
DEL000042,ORD000043,RIDER0144,2025-08-19 00:05:00,2025-08-19 00:25:00,42,20,On Time,11.78
DEL000043,ORD000044,RIDER0240,2025-02-12 14:56:00,2025-02-12 15:39:00,48,43,On Time,10.85
DEL000044,ORD000045,RIDER0275,2025-01-04 02:11:00,2025-01-04 02:31:00,42,20,On Time,3.0
DEL000045,ORD000046,RIDER0235,2025-07-09 05:36:00,2025-07-09 06:00:00,38,24,On Time,14.76
DEL000046,ORD000047,RIDER0015,2025-10-31 08:25:00,2025-10-31 08:57:00,31,32,Late,10.28
DEL000047,ORD000048,RIDER0242,2025-09-07 11:27:00,2025-09-07 12:03:00,44,36,On Time,11.95
DEL000048,ORD000049,RIDER0064,2025-05-24 18:53:00,2025-05-24 19:51:00,59,58,On Time,0.84
DEL000049,ORD000050,RIDER0124,2025-12-11 07:51:00,2025-12-11 08:42:00,58,51,On Time,5.88
DEL000050,ORD000051,RIDER0207,2025-11-29 02:14:00,2025-11-29 02:48:00,27,34,Late,10.82
DEL000051,ORD000052,RIDER0225,2025-06-07 07:25:00,2025-06-07 07:41:00,38,16,On Time,10.13
DEL000052,ORD000053,RIDER0202,2025-03-06 00:28:00,2025-03-06 01:00:00,30,32,Late,7.93
DEL000053,ORD000054,RIDER0201,2025-11-21 14:59:00,2025-11-21 15:14:00,26,15,On Time,3.41
DEL000054,ORD000055,RIDER0137,2025-09-27 13:57:00,2025-09-27 14:31:00,30,34,Late,8.27
DEL000055,ORD000056,RIDER0086,2025-03-16 10:22:00,2025-03-16 10:36:00,25,14,On Time,1.06
DEL000056,ORD000057,RIDER0239,2025-01-29 03:03:00,2025-01-29 04:03:00,60,60,On Time,3.72
DEL000057,ORD000058,RIDER0196,2025-12-01 08:10:00,2025-12-01 08:34:00,39,24,On Time,14.54
DEL000058,ORD000059,RIDER0021,2025-08-26 07:19:00,2025-08-26 07:59:00,43,40,On Time,5.4
DEL000059,ORD000060,RIDER0130,2025-06-02 10:26:00,2025-06-02 11:17:00,51,51,On Time,13.2
DEL000060,ORD000061,RIDER0246,2025-04-04 01:05:00,2025-04-04 02:16:00,51,71,Late,5.72
DEL000061,ORD000062,RIDER0209,2025-08-25 04:24:00,2025-08-25 05:09:00,57,45,On Time,10.72
DEL000062,ORD000063,RIDER0276,2025-11-18 22:53:00,2025-11-19 00:10:00,41,77,Late,6.58
DEL000063,ORD000064,RIDER0294,2025-04-25 05:16:00,2025-04-25 05:33:00,25,17,On Time,11.32
DEL000064,ORD000065,RIDER0160,2025-10-23 20:03:00,2025-10-23 20:38:00,28,35,Late,1.06
DEL000065,ORD000066,RIDER0147,2025-08-07 17:32:00,2025-08-07 18:23:00,44,51,Late,14.32
DEL000066,ORD000067,RIDER0290,2025-09-03 19:50:00,2025-09-03 20:31:00,37,41,Late,1.04
DEL000067,ORD000068,RIDER0041,2025-02-01 09:57:00,2025-02-01 11:24:00,58,87,Late,9.32
DEL000068,ORD000069,RIDER0114,2025-01-20 14:08:00,2025-01-20 14:20:00,27,12,On Time,14.36
DEL000069,ORD000070,RIDER0164,2025-02-22 09:50:00,2025-02-22 11:01:00,60,71,Late,5.4
DEL000070,ORD000071,RIDER0080,2025-07-25 05:01:00,2025-07-25 05:33:00,41,32,On Time,5.74
DEL000071,ORD000072,RIDER0274,2025-08-07 21:23:00,2025-08-07 22:35:00,50,72,Late,2.32
DEL000072,ORD000073,RIDER0293,2025-07-14 11:55:00,2025-07-14 12:41:00,35,46,Late,2.26
DEL000073,ORD000074,RIDER0007,2025-11-01 10:00:00,2025-11-01 10:24:00,28,24,On Time,2.58
DEL000074,ORD000075,RIDER0050,2025-07-14 02:50:00,2025-07-14 03:13:00,30,23,On Time,6.16
DEL000075,ORD000076,RIDER0260,2025-12-11 04:20:00,2025-12-11 05:06:00,45,46,Late,5.22
DEL000076,ORD000077,RIDER0177,2025-03-23 07:01:00,2025-03-23 07:13:00,25,12,On Time,6.16
DEL000077,ORD000078,RIDER0271,2025-01-01 10:52:00,2025-01-01 11:25:00,36,33,On Time,1.79
DEL000078,ORD000079,RIDER0221,2025-06-16 10:17:00,2025-06-16 10:53:00,42,36,On Time,8.04
DEL000079,ORD000080,RIDER0156,2025-11-13 08:15:00,2025-11-13 08:57:00,34,42,Late,5.94
DEL000080,ORD000081,RIDER0074,2025-07-02 20:05:00,2025-07-02 21:06:00,49,61,Late,1.16
DEL000081,ORD000082,RIDER0189,2025-12-16 06:17:00,2025-12-16 06:57:00,36,40,Late,2.24
DEL000082,ORD000083,RIDER0200,2025-09-30 21:05:00,2025-09-30 21:27:00,40,22,On Time,10.42
DEL000083,ORD000084,RIDER0051,2025-06-06 11:18:00,2025-06-06 11:49:00,42,31,On Time,5.19
DEL000084,ORD000085,RIDER0099,2025-12-28 19:32:00,2025-12-28 20:18:00,48,46,On Time,10.84
DEL000085,ORD000086,RIDER0047,2025-07-20 19:23:00,2025-07-20 20:06:00,55,43,On Time,1.09
DEL000086,ORD000087,RIDER0020,2025-07-11 18:16:00,2025-07-11 19:05:00,42,49,Late,2.5
DEL000087,ORD000088,RIDER0265,2025-12-07 05:13:00,2025-12-07 05:56:00,58,43,On Time,2.72
DEL000088,ORD000089,RIDER0136,2025-10-26 15:23:00,2025-10-26 16:33:00,60,70,Late,5.81
DEL000089,ORD000090,RIDER0015,2025-03-17 21:14:00,2025-03-17 21:48:00,42,34,On Time,13.48
DEL000090,ORD000091,RIDER0175,2025-05-20 22:36:00,2025-05-20 23:14:00,34,38,Late,13.37
DEL000091,ORD000092,RIDER0203,2025-11-02 14:51:00,2025-11-02 15:48:00,51,57,Late,11.52
