delivery_partner_id,partner_name,vehicle_type,city,joining_date,rating
RIDER0001,Rider 001,Bike,Mymensingh,2023-12-06,3.59
RIDER0002,Rider 002,Bicycle,Sylhet,2023-09-19,4.25
RIDER0003,Rider 003,Bike,Chattogram,2024-06-26,4.33
RIDER0004,Rider 004,Bike,Dhaka,2024-07-04,4.35
RIDER0005,Rider 005,Bike,Dhaka,2024-09-29,4.79
RIDER0006,Rider 006,Bike,Khulna,2023-06-14,3.51
RIDER0007,Rider 007,Bicycle,Dhaka,2025-01-27,4.54
RIDER0008,Rider 008,Bike,Sylhet,2024-09-12,3.76
RIDER0009,Rider 009,Bike,Khulna,2023-02-20,4.54
RIDER0010,Rider 010,Bike,Dhaka,2024-05-03,4.01
RIDER0011,Rider 011,Bike,Rangpur,2023-07-17,3.87
RIDER0012,Rider 012,Bike,Rangpur,2025-11-12,3.96
RIDER0013,Rider 013,Bike,Chattogram,2024-10-26,3.62
RIDER0014,Rider 014,Bike,Sylhet,2024-10-24,4.22
RIDER0015,Rider 015,Bike,Rajshahi,2023-09-23,3.89
RIDER0016,Rider 016,Bicycle,Chattogram,2023-03-14,4.51
RIDER0017,Rider 017,Scooter,Chattogram,2023-03-18,4.46
RIDER0018,Rider 018,Bike,Dhaka,2024-06-27,4.88
RIDER0019,Rider 019,Scooter,Khulna,2025-05-30,4.35
RIDER0020,Rider 020,Bike,Mymensingh,2024-03-10,4.41
RIDER0021,Rider 021,Bike,Khulna,2025-12-24,4.76
RIDER0022,Rider 022,Scooter,Rangpur,2023-12-23,3.95
RIDER0023,Rider 023,Bike,Sylhet,2025-07-24,3.6
RIDER0024,Rider 024,Bicycle,Dhaka,2023-01-18,4.28
RIDER0025,Rider 025,Scooter,Khulna,2024-11-06,3.63
RIDER0026,Rider 026,Bicycle,Rangpur,2024-07-28,5.0
RIDER0027,Rider 027,Bike,Barishal,2025-01-20,4.78
RIDER0028,Rider 028,Scooter,Mymensingh,2025-09-22,5.0
RIDER0029,Rider 029,Bike,Rajshahi,2025-10-29,4.22
RIDER0030,Rider 030,Bike,Barishal,2024-09-23,4.42
RIDER0031,Rider 031,Bike,Mymensingh,2024-01-07,4.02
RIDER0032,Rider 032,Bicycle,Dhaka,2025-08-27,4.55
RIDER0033,Rider 033,Bicycle,Dhaka,2023-12-19,3.71
RIDER0034,Rider 034,Bike,Khulna,2023-08-12,3.18
RIDER0035,Rider 035,Bike,Mymensingh,2025-08-11,3.88
RIDER0036,Rider 036,Bike,Chattogram,2024-01-03,3.62
RIDER0037,Rider 037,Bicycle,Dhaka,2024-10-17,4.79
RIDER0038,Rider 038,Bike,Chattogram,2024-03-08,4.93
RIDER0039,Rider 039,Bike,Sylhet,2024-05-23,3.64
RIDER0040,Rider 040,Bike,Rangpur,2024-05-22,4.72
RIDER0041,Rider 041,Bicycle,Sylhet,2024-09-08,4.58
RIDER0042,Rider 042,Bike,Mymensingh,2024-02-24,3.57
RIDER0043,Rider 043,Scooter,Mymensingh,2023-03-15,4.04
RIDER0044,Rider 044,Bike,Khulna,2024-07-27,3.97
RIDER0045,Rider 045,Bike,Sylhet,2023-05-26,4.5
RIDER0046,Rider 046,Scooter,Barishal,2023-02-15,3.71
RIDER0047,Rider 047,Bicycle,Mymensingh,2023-05-01,4.16
