order_item_id,order_id,product_id,quantity,unit_price,item_total
ITEM0000001,ORD000001,PROD00884,1,1120.15,1120.15
ITEM0000002,ORD000001,PROD00327,1,965.89,965.89
ITEM0000003,ORD000001,PROD00089,2,964.55,1929.1
ITEM0000004,ORD000002,PROD00030,2,208.16,416.32
ITEM0000005,ORD000002,PROD00592,2,524.94,1049.88
ITEM0000006,ORD000002,PROD00092,2,547.16,1094.32
ITEM0000007,ORD000003,PROD00258,1,710.8,710.8
ITEM0000008,ORD000004,PROD00023,2,711.53,1423.06
ITEM0000009,ORD000004,PROD00464,2,807.03,1614.06
ITEM0000010,ORD000004,PROD00137,2,912.54,1825.08
ITEM0000011,ORD000005,PROD00651,3,450.2,1350.6
ITEM0000012,ORD000006,PROD00211,1,269.63,269.63
ITEM0000013,ORD000007,PROD00404,2,760.09,1520.18
ITEM0000014,ORD000007,PROD00872,1,1164.42,1164.42
ITEM0000015,ORD000007,PROD00471,2,905.54,1811.08
ITEM0000016,ORD000008,PROD00794,3,1108.25,3324.75
ITEM0000017,ORD000008,PROD00190,2,609.27,1218.54
ITEM0000018,ORD000009,PROD00619,1,319.95,319.95
ITEM0000019,ORD000009,PROD00659,1,1080.37,1080.37
ITEM0000020,ORD000009,PROD00010,3,629.26,1887.78
ITEM0000021,ORD000010,PROD00962,2,1064.04,2128.08
ITEM0000022,ORD000010,PROD00428,1,712.42,712.42
ITEM0000023,ORD000011,PROD00543,2,820.73,1641.46
ITEM0000024,ORD000012,PROD00709,2,852.43,1704.86
ITEM0000025,ORD000013,PROD00697,1,477.48,477.48
ITEM0000026,ORD000013,PROD00667,1,557.91,557.91
ITEM0000027,ORD000014,PROD00429,1,970.86,970.86
ITEM0000028,ORD000014,PROD00353,2,1107.04,2214.08
ITEM0000029,ORD000015,PROD00926,1,585.45,585.45
ITEM0000030,ORD000015,PROD00084,1,179.35,179.35
ITEM0000031,ORD000016,PROD00492,2,232.58,465.16
ITEM0000032,ORD000016,PROD00761,3,132.48,397.44
ITEM0000033,ORD000017,PROD00539,3,1188.16,3564.48
ITEM0000034,ORD000017,PROD00334,1,869.05,869.05
ITEM0000035,ORD000018,PROD00101,2,623.49,1246.98
ITEM0000036,ORD000018,PROD00906,2,835.86,1671.72
ITEM0000037,ORD000019,PROD00167,3,894.06,2682.18
ITEM0000038,ORD000019,PROD00789,2,911.3,1822.6
ITEM0000039,ORD000019,PROD00519,1,797.98,797.98
ITEM0000040,ORD000020,PROD00245,1,625.2,625.2
ITEM0000041,ORD000021,PROD00473,2,430.37,860.74
ITEM0000042,ORD000021,PROD00327,1,965.89,965.89
ITEM0000043,ORD000021,PROD00509,3,1042.78,3128.34
ITEM0000044,ORD000022,PROD00168,2,1066.41,2132.82
ITEM0000045,ORD000022,PROD00912,2,302.1,604.2
ITEM0000046,ORD000023,PROD00606,2,1174.53,2349.06
ITEM0000047,ORD000023,PROD00614,3,289.74,869.22
ITEM0000048,ORD000024,PROD00738,1,293.05,293.05
