order_id,customer_id,restaurant_id,order_date,order_time,order_status,payment_method,subtotal,delivery_fee,discount,total_amount
ORD000001,CUST03664,REST0075,2025-02-28,18:25,Cancelled,Card,1718.18,144.47,200.7,1661.95
ORD000002,CUST01982,REST0098,2025-10-03,20:22,Delivered,bKash,1313.77,113.05,189.84,1236.98
ORD000003,CUST01389,REST0079,2025-08-09,16:12,Delivered,Card,1062.57,137.64,51.64,1148.57
ORD000004,CUST00203,REST0001,2025-06-06,18:35,Delivered,bKash,1650.85,99.57,55.71,1694.71
ORD000005,CUST03303,REST0097,2025-06-30,12:28,Delivered,Cash,882.4,125.92,217.48,790.84
ORD000006,CUST04695,REST0073,2025-08-01,10:08,Delivered,bKash,1515.35,45.66,144.53,1416.48
ORD000007,CUST04102,REST0017,2025-05-09,11:19,Delivered,Card,1518.3,42.87,34.21,1526.96
ORD000008,CUST02405,REST0079,2025-08-31,15:20,Delivered,bKash,286.31,94.27,71.58,309.0
ORD000009,CUST03521,REST0004,2025-06-21,15:40,Delivered,bKash,783.25,91.2,155.14,719.31
ORD000010,CUST03218,REST0046,2025-12-31,22:07,Delivered,bKash,1217.66,141.04,164.71,1193.99
ORD000011,CUST02103,REST0070,2025-09-27,11:25,Delivered,Nagad,944.77,137.65,147.55,934.87
ORD000012,CUST00147,REST0006,2025-06-12,18:37,Delivered,Nagad,1687.73,87.64,92.31,1683.06
ORD000013,CUST04682,REST0083,2025-01-24,19:26,Delivered,Card,1307.56,148.53,111.68,1344.41
ORD000014,CUST00980,REST0023,2025-07-12,10:53,Delivered,Nagad,428.0,129.79,107.0,450.79
ORD000015,CUST00736,REST0094,2025-10-21,13:22,Delivered,Nagad,1630.29,55.39,153.05,1532.63
ORD000016,CUST00695,REST0001,2025-05-09,13:30,Delivered,bKash,310.48,139.17,77.62,372.03
ORD000017,CUST00854,REST0073,2025-02-10,10:13,Delivered,bKash,1371.65,113.0,46.63,1438.02
ORD000018,CUST00248,REST0061,2025-01-31,21:16,Delivered,bKash,316.77,135.67,79.19,373.25
ORD000019,CUST02180,REST0022,2025-02-05,14:51,Delivered,Card,1732.63,92.99,184.39,1641.23
ORD000020,CUST04538,REST0065,2025-12-27,15:07,Delivered,bKash,1210.7,144.62,205.76,1149.56
ORD000021,CUST02304,REST0057,2025-09-10,18:09,Delivered,Cash,1431.47,117.37,16.85,1531.99
ORD000022,CUST01410,REST0036,2025-12-31,20:14,Pending,Card,1508.73,39.91,122.94,1425.7
ORD000023,CUST02553,REST0025,2025-08-03,17:57,Delivered,Nagad,1342.02,32.98,196.8,1178.2
ORD000024,CUST03772,REST0016,2025-10-14,13:30,Delivered,Card,1423.48,101.38,46.34,1478.52
ORD000025,CUST02464,REST0026,2025-09-13,15:22,Delivered,Card,1533.74,148.7,161.4,1521.04
ORD000026,CUST03738,REST0092,2025-07-05,16:33,Delivered,Cash,592.05,48.96,148.01,493.0
ORD000027,CUST00986,REST0005,2025-03-02,15:22,Delivered,bKash,1533.36,111.25,44.37,1600.24
ORD000028,CUST04055,REST0022,2025-09-19,14:20,Delivered,Card,983.31,94.62,239.21,838.72
